Country,year,num_conflicts,avg_intensity,max_intensity,avg_duration,total_duration,conflict_type_count,has_territory_conflict,has_government_conflict,has_both_conflict,conflicts_past_3years,intensity_past_3years
Afghanistan,1978,1,2,2,,0,1,0,1,0,1,2
Afghanistan,1979,1,2,2,,0,1,0,1,0,1,2
Afghanistan,1980,1,2,2,,0,1,0,1,0,1,2
Afghanistan,1981,1,2,2,,0,1,0,1,0,1,2
Afghanistan,1982,1,2,2,,0,1,0,1,0,1,2
Afghanistan,1983,1,2,2,,0,1,0,1,0,1,2
Afghanistan,1984,1,2,2,,0,1,0,1,0,1,2
Afghanistan,1985,1,2,2,,0,1,0,1,0,1,2
Afghanistan,1986,1,2,2,,0,1,0,1,0,1,2
Afghanistan,1987,1,2,2,,0,1,0,1,0,1,2
Afghanistan,1988,1,2,2,,0,1,0,1,0,1,2
Afghanistan,1989,1,2,2,,0,1,0,1,0,1,2
Afghanistan,1990,1,2,2,,0,1,0,1,0,1,2
Afghanistan,1991,1,2,2,,0,1,0,1,0,1,2
Afghanistan,1992,1,2,2,,0,1,0,1,0,1,2
Afghanistan,1993,1,2,2,,0,1,0,1,0,1,2
Afghanistan,1994,1,2,2,,0,1,0,1,0,1,2
Afghanistan,1995,1,2,2,,0,1,0,1,0,1,2
Afghanistan,1996,1,2,2,,0,1,0,1,0,1,2
Afghanistan,1997,1,2,2,,0,1,0,1,0,1,2
Afghanistan,1998,1,2,2,,0,1,0,1,0,1,2
Afghanistan,1999,1,2,2,,0,1,0,1,0,1,2
Afghanistan,2000,1,2,2,,0,1,0,1,0,1,2
Afghanistan,2001,1,2,2,,0,1,0,1,0,1,2
Afghanistan,2002,1,1,1,,0,1,0,1,0,1,1.666666667
Afghanistan,2003,1,1,1,,0,1,0,1,0,1,1.333333333
Afghanistan,2004,1,1,1,,0,1,0,1,0,1,1
Afghanistan,2005,1,2,2,,0,1,0,1,0,1,1.333333333
Afghanistan,2006,1,2,2,,0,1,0,1,0,1,1.666666667
Afghanistan,2007,1,2,2,,0,1,0,1,0,1,2
Afghanistan,2008,1,2,2,,0,1,0,1,0,1,2
Afghanistan,2009,1,2,2,,0,1,0,1,0,1,2
Afghanistan,2010,1,2,2,,0,1,0,1,0,1,2
Afghanistan,2011,1,2,2,,0,1,0,1,0,1,2
Afghanistan,2012,1,2,2,,0,1,0,1,0,1,2
Afghanistan,2013,1,2,2,,0,1,0,1,0,1,2
Afghanistan,2014,1,2,2,,0,1,0,1,0,1,2
Afghanistan,2015,2,1.5,2,,0,1,1,1,0,1.333333333,1.833333333
Afghanistan,2016,2,2,2,,0,1,1,1,0,1.666666667,1.833333333
Afghanistan,2017,2,2,2,,0,1,1,1,0,2,1.833333333
Afghanistan,2018,2,2,2,,0,1,1,1,0,2,2
Afghanistan,2019,2,2,2,,0,1,1,1,0,2,2
Afghanistan,2020,2,1.5,2,,0,1,1,1,0,2,1.833333333
Afghanistan,2021,2,1.5,2,,0,1,1,1,0,2,1.666666667
Afghanistan,2022,2,1,1,,0,1,1,1,0,2,1.333333333
Afghanistan,2023,2,1,1,,0,1,1,1,0,2,1.166666667
"Afghanistan, Russia (Soviet Union)",1979,1,1,1,1,1,1,0,1,0,1,1
"Afghanistan, United Kingdom, United States of America",2001,1,2,2,37,37,1,0,1,0,1,2
"Albania, United Kingdom",1946,1,1,1,70,70,1,1,0,0,1,1
Algeria,1954,1,1,1,,0,1,1,0,0,1,1
Algeria,1955,1,2,2,,0,1,1,0,0,1,1.5
Algeria,1956,1,2,2,,0,1,1,0,0,1,1.666666667
Algeria,1957,1,2,2,,0,1,1,0,0,1,2
Algeria,1958,1,2,2,,0,1,1,0,0,1,2
Algeria,1959,1,2,2,,0,1,1,0,0,1,2
Algeria,1960,1,2,2,,0,1,1,0,0,1,2
Algeria,1961,1,2,2,,0,1,1,0,0,1,2
Algeria,1962,1,1,1,2667,2667,1,1,0,0,1,1.666666667
Algeria,1991,1,1,1,,0,1,0,1,0,1,1.333333333
Algeria,1992,1,1,1,,0,1,0,1,0,1,1
Algeria,1993,1,1,1,,0,1,0,1,0,1,1
Algeria,1994,1,2,2,,0,1,0,1,0,1,1.333333333
Algeria,1995,1,2,2,,0,1,0,1,0,1,1.666666667
Algeria,1996,1,2,2,,0,1,0,1,0,1,2
Algeria,1997,1,2,2,,0,1,0,1,0,1,2
Algeria,1998,1,2,2,,0,1,0,1,0,1,2
Algeria,1999,1,2,2,,0,1,0,1,0,1,2
Algeria,2000,1,1,1,,0,1,0,1,0,1,1.666666667
Algeria,2001,1,1,1,,0,1,0,1,0,1,1.333333333
Algeria,2002,1,1,1,,0,1,0,1,0,1,1
Algeria,2003,1,1,1,,0,1,0,1,0,1,1
Algeria,2004,1,1,1,,0,1,0,1,0,1,1
Algeria,2005,1,1,1,,0,1,0,1,0,1,1
Algeria,2006,1,1,1,,0,1,0,1,0,1,1
Algeria,2007,1,1,1,,0,1,0,1,0,1,1
Algeria,2008,1,1,1,,0,1,0,1,0,1,1
Algeria,2009,1,1,1,,0,1,0,1,0,1,1
Algeria,2010,1,1,1,,0,1,0,1,0,1,1
Algeria,2011,1,1,1,,0,1,0,1,0,1,1
Algeria,2012,1,1,1,,0,1,0,1,0,1,1
Algeria,2013,1,1,1,,0,1,0,1,0,1,1
Algeria,2014,1,1,1,,0,1,0,1,0,1,1
Algeria,2015,2,1,1,0,0,1,1,1,0,1.333333333,1
Algeria,2016,1,1,1,,0,1,0,1,0,1.333333333,1
Algeria,2017,1,1,1,,0,1,0,1,0,1.333333333,1
Algeria,2018,1,1,1,9842,9842,1,0,1,0,1,1
Algeria,2020,1,1,1,1,1,1,0,1,0,1,1
"Algeria, Morocco",1963,1,1,1,27,27,1,1,0,0,1,1
Angola,1961,1,2,2,,0,1,1,0,0,1,2
Angola,1962,1,2,2,,0,1,1,0,0,1,2
Angola,1963,1,1,1,,0,1,1,0,0,1,1.666666667
Angola,1964,1,1,1,,0,1,1,0,0,1,1.333333333
Angola,1965,1,1,1,,0,1,1,0,0,1,1
Angola,1966,1,1,1,,0,1,1,0,0,1,1
Angola,1967,1,1,1,,0,1,1,0,0,1,1
Angola,1968,1,1,1,,0,1,1,0,0,1,1
Angola,1969,1,1,1,,0,1,1,0,0,1,1
Angola,1970,1,1,1,,0,1,1,0,0,1,1
Angola,1971,1,1,1,,0,1,1,0,0,1,1
Angola,1972,1,1,1,,0,1,1,0,0,1,1
Angola,1973,1,1,1,,0,1,1,0,0,1,1
Angola,1974,1,1,1,5007,5007,1,1,0,0,1,1
Angola,1975,1,2,2,,0,1,0,1,0,1,1.333333333
Angola,1976,1,2,2,,0,1,0,1,0,1,1.666666667
Angola,1977,1,2,2,,0,1,0,1,0,1,2
Angola,1978,1,2,2,,0,1,0,1,0,1,2
Angola,1979,1,2,2,,0,1,0,1,0,1,2
Angola,1980,1,2,2,,0,1,0,1,0,1,2
Angola,1981,1,2,2,,0,1,0,1,0,1,2
Angola,1982,1,2,2,,0,1,0,1,0,1,2
Angola,1983,1,2,2,,0,1,0,1,0,1,2
Angola,1984,1,2,2,,0,1,0,1,0,1,2
Angola,1985,1,2,2,,0,1,0,1,0,1,2
Angola,1986,1,2,2,,0,1,0,1,0,1,2
